opt_ID,opt_name_data,opt_desc_data,opt_name_size,opt_desc_size,client_class,id_client,segment,duration,opt_class,sales_capture,count_aai,pricing_struct,business_entity,client_location,competition_type,alliances,quarter,mergers,stage,win_prob,total_current_rev,aai_label
10777400,,,2,40,Très haute,0,B,Moins de 100,Très Importante,michelle.g,5,type B,F,France,Competitive,non_data_all,FY20Q3,non_data_acq,3B,90,349988,0
11003779,,,4,37,Très haute,0,B,Moins de 100,Moyenne,michelle.g,5,type A,E,France,Sole Sourced,non_data_all,FY21Q1,other,0A,30,9790,0
11049284,,,8,5,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,3B,70,728,0
11067178,,,8,11,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,696,0
11046646,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q2,other,3B,100,634,0
11046657,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY21Q2,other,0A,10,626,0
11103019,,,6,40,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,0A,70,430,0
11046625,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q3,other,3B,70,388,0
10879109,,,6,30,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY21Q1,other,0A,50,356,0
10998711,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q1,other,3B,100,346,0
10967971,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q1,other,3B,100,330,0
11121519,,,2,7,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,other,FY21Q1,other,0A,70,262,0
11046638,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q4,other,0A,30,178,0
11046633,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q3,other,0A,50,178,0
11110003,,,4,5,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,172,0
